IMU_Map_Downsample,ave_match,ave_solve,ave_ICP,map_incre,ave_total,icp,construct_H
0.001528,0.004145,0.000527,0.005011,0.000676,0.007036,0.004691,9.2e-05
0.001334,0.004142,0.000527,0.00391,0.000445,0.00703,0.004687,9.2e-05
0.001286,0.004142,0.000526,0.004664,0.000468,0.007027,0.004687,9.2e-05
0.001313,0.004141,0.000526,0.004426,0.00054,0.007024,0.004686,9.2e-05
0.001444,0.004142,0.000526,0.004918,0.000688,0.007024,0.004686,9.2e-05
0.001506,0.004146,0.000525,0.005557,0.00068,0.007027,0.00469,9.2e-05
0.001772,0.004159,0.000526,0.00773,0.00073,0.007041,0.004703,9.2e-05
0.001672,0.004184,0.000528,0.010856,0.001454,0.007072,0.00473,9.2e-05
0.001624,0.004185,0.000528,0.005144,0.00078,0.007074,0.004732,9.2e-05
0.001659,0.004186,0.000528,0.00504,0.000732,0.007076,0.004733,9.2e-05
0.00165,0.004187,0.000528,0.005007,0.000618,0.007076,0.004734,9.2e-05
0.001691,0.004189,0.000528,0.005168,0.000665,0.007078,0.004735,9.2e-05
0.001788,0.004191,0.000528,0.005314,0.000597,0.007081,0.004738,9.2e-05
0.001709,0.004192,0.000528,0.005088,0.00056,0.007082,0.004739,9.2e-05
0.001672,0.004192,0.000527,0.004668,0.000507,0.007081,0.004738,9.2e-05
0.001565,0.004193,0.000527,0.004906,0.000545,0.007081,0.004739,9.2e-05
0.001506,0.004192,0.000527,0.004553,0.00046,0.007079,0.004738,9.2e-05
0.001462,0.004194,0.000527,0.005157,0.000619,0.007079,0.004739,9.2e-05
0.001454,0.004192,0.000526,0.004366,0.000467,0.007076,0.004737,9.2e-05
0.001575,0.004193,0.000526,0.005014,0.000561,0.007076,0.004738,9.2e-05
0.001541,0.004194,0.000526,0.005027,0.000709,0.007077,0.004739,9.2e-05
0.00154,0.004195,0.000526,0.004936,0.00086,0.007078,0.00474,9.2e-05
0.001555,0.004196,0.000526,0.005046,0.000733,0.007079,0.004741,9.2e-05
0.001749,0.004198,0.000526,0.005193,0.000611,0.007081,0.004742,9.2e-05
0.001619,0.004198,0.000526,0.004869,0.000588,0.007081,0.004743,9.2e-05
0.001791,0.004199,0.000526,0.004906,0.000564,0.007082,0.004743,9.2e-05
0.001783,0.004201,0.000526,0.00546,0.000606,0.007085,0.004746,9.2e-05
0.00166,0.004203,0.000526,0.005268,0.000608,0.007087,0.004747,9.2e-05
0.001669,0.004205,0.000525,0.005286,0.000537,0.007088,0.004749,9.2e-05
0.001703,0.004206,0.000525,0.005091,0.000464,0.007089,0.00475,9.2e-05
0.001872,0.004225,0.000526,0.009775,0.000997,0.007111,0.00477,9.2e-05
0.001622,0.004225,0.000526,0.004664,0.000396,0.00711,0.00477,9.2e-05
0.001707,0.004225,0.000526,0.004725,0.000325,0.007108,0.004769,9.2e-05
0.001622,0.004224,0.000525,0.004571,0.000484,0.007107,0.004768,9.1e-05
